Date,VIX Index,MOVE Index,MXWD Index,SBWGU Index,SPGSCI Index,.TED G Index,KOSPI2 Index,SPX Index,SX5E Index,NKY Index,UKX Index,HSI Index,MXWO000V Index,MXWOMOM Index,MXUS000V Index,MXUSMMT Index,MXUSQU Index,MXUSMVOL Index,DXY Curncy,GOLDLNPM Index,USYC2Y10 Index
1990-01-01,,87.93,139.57,201.8721,207.25,60.455929,,353.4,1098.49,38915.87,2422.7,2836.57,854.5,197.02,479.77,,156.39,338.94,93.16,398.6,9.45
1990-01-02,17.24,91.73,140.01,201.8721,212.09,57.420952,,359.69,1101.34,38915.87,2434.1,2838.07,854.5,197.02,479.77,,156.39,338.94,94.25,399,5.45
1990-01-03,18.19,93.21,140.08,201.8721,215.64,52.12243,100,358.76,1112.82,38915.87,2463.7,2858.72,854.5,197.02,479.77,,156.39,338.94,94.45,395,4.65
1990-01-04,19.22,95.09,140.59,201.8721,212.14,49.158506,102,355.67,1113.02,38712.88,2451.6,2867.95,854.5,197.02,479.77,,156.39,338.94,92.54,396.5,6.15
1990-01-05,20.11,85.28,139.45,201.8721,206.92,60.283372,100.38,352.2,1099.52,38274.76,2444.5,2839.94,854.5,197.02,479.77,,156.39,338.94,93.06,405,9.95
1990-01-08,20.26,86.91,139.8,201.8721,199.75,57.309297,100.51,353.79,1104.62,38294.96,2431.3,2816.24,854.5,197.02,479.77,,156.39,338.94,92.05,404.6,11.85
1990-01-09,22.2,83.53,138.64,201.8721,200.4,53.096871,100.54,349.62,1108.79,37951.46,2436.3,2822.16,854.5,197.02,479.77,,156.39,338.94,92.36,403.45,11.55
1990-01-10,22.44,84.53,137.86,201.8721,203.71,57.542757,99.73,347.31,1099.88,37696.51,2412.7,2868,854.5,197.02,479.77,,156.39,338.94,92.5,409.1,13.75
1990-01-11,20.05,82.86,138.25,201.8721,203.86,46.022025,98.77,348.53,1111.34,38170.13,2417.9,2855.52,854.5,197.02,479.77,,156.39,338.94,92.44,412.1,12.35
1990-01-12,24.64,87.31,136.46,201.8721,202.92,54.162666,98.78,339.93,1100.32,37516.77,2380,2835.94,854.5,197.02,479.77,,156.39,338.94,92.56,416.25,15.75
1990-01-15,26.34,87.31,135.64,201.8721,200.08,60.506681,96.49,337,1094.09,37516.77,2366.2,2786.69,854.5,197.02,479.77,,156.39,338.94,92.95,415.6,16.55
1990-01-16,24.18,95.37,134.15,201.8721,199.83,58.425844,96.57,340.75,1076.85,36850.36,2349.1,2751.79,854.5,197.02,479.77,,156.39,338.94,92.87,412.75,9.85
1990-01-17,24.16,93.84,133.82,201.8721,197.63,50.975432,95.58,337.4,1085.63,36821.14,2373.9,2754.84,854.5,197.02,479.77,,156.39,338.94,92.77,410.4,13.75
1990-01-18,24.34,101.9,132.89,201.8721,198.64,34.105427,95.62,338.19,1071.44,36729.46,2336.9,2771.67,854.5,197.02,479.77,,156.39,338.94,93.78,413.4,7.15
1990-01-19,22.5,95.76,132.88,201.8721,200.3,39.992673,94.82,339.15,1069.32,36836.54,2335,2776.29,854.5,197.02,479.77,,156.39,338.94,93.76,408.65,6.95
1990-01-22,26.7,101.65,132.08,201.8721,198.52,41.231025,98.3,330.38,1070.13,37257.01,2297.1,2771.65,854.5,197.02,479.77,,156.39,338.94,94.36,406,13.45
1990-01-23,24.72,102.77,132.16,201.8721,197.18,43.393065,97.51,331.61,1072,37378.02,2291.1,2762.45,854.5,197.02,479.77,,156.39,338.94,93.05,408.25,11.45
1990-01-24,25.39,109.14,131.59,201.8721,196.75,46.773157,98.98,330.26,1048.74,36778.98,2278.6,2756.39,854.5,197.02,479.77,,156.39,338.94,92.87,420.75,13.05
1990-01-25,25.63,109.73,131.56,201.8721,198.72,44.803974,99.12,326.08,1061.73,36969.11,2289.9,2768.86,854.5,197.02,479.77,,156.39,338.94,92.57,415.65,16.75
1990-01-26,26.28,110.08,131.88,201.8721,199.39,44.266002,99.12,325.8,1061.64,36874.07,2314.5,2768.86,854.5,197.02,479.77,,156.39,338.94,92.53,418,20.05
1990-01-29,26.44,108.34,133.06,201.8721,200.58,39.099436,98.14,325.2,1063.84,37173.7,2328.8,2768.86,854.5,197.02,479.77,,156.39,338.94,91.99,418.75,21.15
1990-01-30,27.25,112.71,132.64,201.8721,199.02,36.957696,97.06,322.98,1067.73,37215.67,2322,2760.8,854.5,197.02,479.77,,156.39,338.94,92.91,418.15,22.05
1990-01-31,25.36,105.5,132.91,199.2019,198.83,37.140404,97.83,329.08,1069.92,37188.95,2337.3,2751.6,819.2,186.05,450.13,,145.38,313.61,92.55,415.05,16.35
1990-02-01,24.87,105.39,133.31,199.2019,198.52,36.247166,96.66,328.79,1081.45,37206.42,2345.8,2738.24,819.2,186.05,450.13,,145.38,313.61,92.18,415.8,13.25
1990-02-02,24.32,103.31,133.87,199.2019,200.95,32.51181,95.69,330.92,1099.38,37650.15,2355.1,2736.55,819.2,186.05,450.13,,145.38,313.61,92.44,417.95,15.25
1990-02-05,24.54,98.51,134.26,199.2019,198.32,31.618573,95.63,331.85,1111.72,37631.41,2348.4,2756.67,819.2,186.05,450.13,,145.38,313.61,91.49,423,16.05
1990-02-06,24.69,99.43,134.41,199.2019,198.22,31.608422,96.77,329.66,1108.79,37666.83,2321.1,2792.89,819.2,186.05,450.13,,145.38,313.61,91.45,421.05,17.75
1990-02-07,24.29,107.67,134.01,199.2019,197.53,31.79113,96.04,333.75,1093.94,37301.87,2307.4,2844.89,819.2,186.05,450.13,,145.38,313.61,91.68,423.75,15.15
1990-02-08,23.77,104.47,133.96,199.2019,196.58,30.897892,96.25,332.96,1102.05,37516.24,2331,2903.77,819.2,186.05,450.13,,145.38,313.61,91.92,418,11.45
1990-02-09,23.69,105.65,133.37,199.2019,195.28,36.785139,95.83,333.62,1091.27,37288.14,2313.6,2893.9,819.2,186.05,450.13,,145.38,313.61,91.94,415.5,7.15
1990-02-12,24.38,104.26,132.87,199.2019,197.03,35.962954,94.4,330.08,1075.59,37288.14,2285.9,2894.66,819.2,186.05,450.13,,145.38,313.61,92.11,418.85,10.55
