Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1980-01-01,,,1000,,1000,1000,,1000,
1980-01-02,,,1000,,979.803595,1000,,1092.773438,
1980-01-03,,,1000,,974.800815,1000,,1238.28125,
1980-01-04,,,1000,,986.844543,1000,,1148.4375,
1980-01-07,,,1000,,989.531221,1000,,1237.304688,
1980-01-08,,,1000,,1009.35705,1000,,1191.40625,
1980-01-09,,,1000,,1010.283491,1000,,1185.9375,
1980-01-10,,,1000,,1018.065592,1000,,1177.441406,
1980-01-11,,,1000,,1018.343524,1000,,1216.796875,
1980-01-14,,,1000,,1022.605151,1000,,1289.0625,
1980-01-15,,,1000,,1029.6461,1000,,1335.9375,
1980-01-16,,,1000,,1028.812303,1000,,1484.375,
1980-01-17,,,1000,,1025.569761,1000,,1464.84375,
1980-01-18,,,1000,,1028.997591,1000,,1630.859375,
1980-01-21,,,1000,,1038.53993,1000,,1660.15625,
1980-01-22,,,1000,,1033.07393,1000,,1440.429688,
1980-01-23,,,1000,,1050.954234,1000,,1357.421875,
1980-01-24,,,1000,,1053.362979,1000,,1400.390625,
1980-01-25,,,1000,,1052.529183,1000,,1304.6875,
1980-01-28,,,1000,,1064.017047,1000,,1218.75,
1980-01-29,,,1000,,1056.79081,1000,,1316.894531,
1980-01-30,,,1000,,1067.259589,1000,,1349.609375,
1980-01-31,,,969.536962,,1057.624606,1047.196002,,1275.390625,
1980-02-01,,,969.536962,,1066.518436,1047.196002,,1321.289063,
1980-02-04,,,969.536962,,1059.570132,1047.196002,,1308.105469,
1980-02-05,,,969.536962,,1062.256809,1047.196002,,1332.03125,
1980-02-06,,,969.536962,,1072.07708,1047.196002,,1384.765625,
1980-02-07,,,969.536962,,1077.265147,1047.196002,,1365.722656,
1980-02-08,,,969.536962,,1092.736706,1047.196002,,1351.5625,
1980-02-11,,,969.536962,,1085.047248,1047.196002,,1387.695313,
1980-02-12,,,969.536962,,1092.273485,1047.196002,,1356.445313,
1980-02-13,,,969.536962,,1097.276265,1047.196002,,1360.839844,
1980-02-14,,,969.536962,,1081.341486,1047.196002,,1332.03125,
1980-02-15,,,969.536962,,1069.205114,1047.196002,,1302.734375,
1980-02-18,,,969.536962,,1069.205114,1047.196002,,1291.992188,
1980-02-19,,,969.536962,,1061.700945,1047.196002,,1273.925781,
1980-02-20,,,969.536962,,1079.025384,1047.196002,,1183.59375,
1980-02-21,,,969.536962,,1068.000741,1047.196002,,1298.828125,
1980-02-22,,,969.536962,,1065.777284,1047.196002,,1230.46875,
1980-02-25,,,969.536962,,1049.935149,1047.196002,,1204.101563,
1980-02-26,,,969.536962,,1055.957013,1047.196002,,1254.394531,
